time_period,time,duration,amplitude
18:00:00,18:27:33,1.0,3.124999999992717
18:00:00,18:27:41,8.0,-3.124999999992717
18:00:00,18:27:43,2.0,3.124999999992717
18:00:00,18:27:51,8.0,-8.124999999992166
18:00:00,18:27:56,5.0,8.124999999992166
18:00:00,18:27:57,1.0,-3.124999999992717
18:00:00,18:28:16,19.0,3.124999999992717
18:00:00,18:28:17,1.0,-3.124999999992717
18:00:00,18:28:18,1.0,3.124999999992717
18:00:00,18:28:19,1.0,-3.124999999992717
18:00:00,18:28:27,8.0,3.124999999992717
18:00:00,18:28:32,5.0,-3.124999999992717
18:00:00,18:28:36,4.0,3.124999999992717
18:00:00,18:29:28,52.0,-4.999999999999449
18:00:00,18:29:29,1.0,3.124999999992717
18:00:00,18:29:50,21.0,-3.124999999992717
18:00:00,18:29:51,1.0,6.250000000013188
18:00:00,18:30:00,9.0,-6.250000000013188
18:00:00,18:30:03,3.0,6.250000000013188
18:00:00,18:30:04,1.0,-6.250000000013188
18:00:00,18:30:05,1.0,3.124999999992717
18:00:00,18:30:13,8.0,-3.124999999992717
18:00:00,18:30:14,1.0,3.124999999992717
18:00:00,18:30:21,7.0,-3.124999999992717
18:00:00,18:30:23,2.0,3.124999999992717
18:00:00,18:30:24,1.0,-3.124999999992717
18:00:00,18:30:26,2.0,8.124999999992166
18:00:00,18:30:28,2.0,-8.124999999992166
18:00:00,18:30:54,26.0,3.124999999992717
18:00:00,18:30:55,1.0,-3.124999999992717
18:00:00,18:30:58,3.0,3.124999999992717
18:00:00,18:31:46,48.0,-13.125000000002718
18:00:00,18:32:12,26.0,8.125000000003268
18:00:00,18:32:15,3.0,-3.124999999992717
18:00:00,18:32:33,18.0,3.124999999992717
18:00:00,18:32:35,2.0,-3.124999999992717
18:00:00,18:32:36,1.0,3.124999999992717
18:00:00,18:32:54,18.0,-8.125000000003268
18:00:00,18:33:18,24.0,6.2500000000131894
18:00:00,18:33:53,35.0,-3.1250000000204725
18:00:00,18:40:49,416.0,3.1250000000204725
18:00:00,18:41:39,50.0,-9.999999999998899
18:00:00,18:42:07,28.0,9.999999999998899
18:00:00,18:42:21,14.0,-9.999999999998899
18:00:00,18:42:41,20.0,6.249999999985434
18:00:00,18:43:11,30.0,-6.249999999985434
18:00:00,18:43:15,4.0,6.249999999985434
18:00:00,18:43:36,21.0,-3.124999999992717
18:00:00,18:43:37,1.0,1.8750000000178346
18:00:00,18:43:43,6.0,-5.000000000010552
18:00:00,18:43:51,8.0,8.125000000003268
18:00:00,18:44:05,14.0,-11.875000000016733
18:00:00,18:44:06,1.0,9.999999999998899
18:00:00,18:44:41,35.0,-9.999999999998899
18:00:00,18:44:42,1.0,4.999999999999449
18:00:00,18:44:45,3.0,-3.124999999992717
18:00:00,18:45:07,22.0,4.999999999999449
18:00:00,18:45:08,1.0,-3.124999999992717
18:00:00,18:45:40,32.0,3.124999999992717
18:00:00,18:46:33,53.0,-3.124999999992717
18:00:00,18:47:08,35.0,3.124999999992717
18:00:00,18:49:43,155.0,-6.2500000000131894
18:00:00,18:49:51,8.0,3.1250000000204725
18:00:00,18:50:37,46.0,-9.375000000005906
18:00:00,18:50:42,5.0,3.124999999992717
18:00:00,18:50:44,2.0,-3.124999999992717
18:00:00,18:50:48,4.0,3.124999999992717
18:00:00,18:53:22,154.0,-3.124999999992717
18:00:00,18:53:23,1.0,9.999999999998899
18:00:00,18:53:37,14.0,-3.1250000000204725
18:00:00,18:53:39,2.0,3.1250000000204725
18:00:00,18:53:40,1.0,-9.999999999998899
18:00:00,18:53:58,18.0,13.124999999991616
18:00:00,18:55:46,108.0,-3.124999999992717
18:00:00,18:57:09,83.0,3.124999999992717
18:00:00,18:57:16,7.0,-3.124999999992717
18:00:00,18:57:17,1.0,3.124999999992717
18:00:00,18:57:18,1.0,-3.124999999992717
18:00:00,18:57:19,1.0,3.124999999992717
18:00:00,18:57:20,1.0,-3.124999999992717
18:00:00,18:57:21,1.0,3.124999999992717
18:00:00,18:57:28,7.0,-3.124999999992717
18:00:00,18:57:29,1.0,3.124999999992717
19:00:00,19:00:39,30.0,-9.999999999998899
19:00:00,19:02:04,85.0,20.0000000000089
19:00:00,19:02:14,10.0,-4.999999999999449
19:00:00,19:02:27,13.0,4.999999999999449
19:00:00,19:03:20,53.0,-11.249999999984883
19:00:00,19:03:23,3.0,4.999999999999449
19:00:00,19:03:32,9.0,-10.000000000010001
19:00:00,19:03:33,1.0,6.249999999985434
19:00:00,19:05:00,87.0,-6.249999999985434
19:00:00,19:05:08,8.0,10.000000000010001
19:00:00,19:06:10,62.0,-10.000000000010001
19:00:00,19:06:11,1.0,5.000000000010552
19:00:00,19:06:40,29.0,-5.000000000010552
19:00:00,19:06:50,10.0,5.000000000010552
19:00:00,19:06:54,4.0,-5.000000000010552
19:00:00,19:07:10,16.0,5.000000000010552
